Symbol,Type,Entry,SL,TP,Lots,Comment
BTCUSD,BUY LIMIT,105162.15625,105087.15625,105437.15625,100.0,AutoLiquidity 2025-05-30 17:23:35
BTCUSD,SELL LIMIT,105312.15625,105387.15625,105037.15625,100.0,AutoLiquidity 2025-05-30 17:23:35
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 17:23:37
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 17:23:37
BTCUSD,BUY LIMIT,105043.54688,104968.54688,105318.54688,100.0,AutoLiquidity 2025-05-30 17:28:39
BTCUSD,SELL LIMIT,105193.54688,105268.54688,104918.54688,100.0,AutoLiquidity 2025-05-30 17:28:39
EURUSD,BUY LIMIT,1.13357,1.13307,1.13707,90.0,AutoLiquidity 2025-05-30 17:28:42
EURUSD,SELL LIMIT,1.13657,1.13707,1.13307,90.0,AutoLiquidity 2025-05-30 17:28:42
BTCUSD,BUY LIMIT,104558.73438,104483.73438,104833.73438,100.0,AutoLiquidity 2025-05-30 17:33:44
BTCUSD,SELL LIMIT,104708.73438,104783.73438,104433.73438,100.0,AutoLiquidity 2025-05-30 17:33:44
EURUSD,BUY LIMIT,1.13344,1.13294,1.13694,90.0,AutoLiquidity 2025-05-30 17:33:46
EURUSD,SELL LIMIT,1.13644,1.13694,1.13294,90.0,AutoLiquidity 2025-05-30 17:33:46
BTCUSD,BUY LIMIT,104083.3125,104008.3125,104358.3125,100.0,AutoLiquidity 2025-05-30 17:38:48
BTCUSD,SELL LIMIT,104233.3125,104308.3125,103958.3125,100.0,AutoLiquidity 2025-05-30 17:38:48
EURUSD,BUY LIMIT,1.13344,1.13294,1.13694,90.0,AutoLiquidity 2025-05-30 17:38:50
EURUSD,SELL LIMIT,1.13644,1.13694,1.13294,90.0,AutoLiquidity 2025-05-30 17:38:50
BTCUSD,BUY LIMIT,104313.19531,104238.19531,104588.19531,100.0,AutoLiquidity 2025-05-30 17:42:41
BTCUSD,SELL LIMIT,104463.19531,104538.19531,104188.19531,100.0,AutoLiquidity 2025-05-30 17:42:41
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 17:42:43
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 17:42:43
BTCUSD,BUY LIMIT,104368.24219,104293.24219,104643.24219,100.0,AutoLiquidity 2025-05-30 17:45:25
BTCUSD,SELL LIMIT,104518.24219,104593.24219,104243.24219,100.0,AutoLiquidity 2025-05-30 17:45:25
EURUSD,BUY LIMIT,1.13344,1.13294,1.13694,90.0,AutoLiquidity 2025-05-30 17:45:27
EURUSD,SELL LIMIT,1.13644,1.13694,1.13294,90.0,AutoLiquidity 2025-05-30 17:45:27
BTCUSD,BUY LIMIT,104364.71094,104289.71094,104639.71094,100.0,AutoLiquidity 2025-05-30 17:47:18
BTCUSD,SELL LIMIT,104514.71094,104589.71094,104239.71094,100.0,AutoLiquidity 2025-05-30 17:47:18
EURUSD,BUY LIMIT,1.13344,1.13294,1.13694,90.0,AutoLiquidity 2025-05-30 17:47:20
EURUSD,SELL LIMIT,1.13644,1.13694,1.13294,90.0,AutoLiquidity 2025-05-30 17:47:20
BTCUSD,BUY LIMIT,104119.59375,104044.59375,104394.59375,100.0,AutoLiquidity 2025-05-30 17:49:13
BTCUSD,SELL LIMIT,104269.59375,104344.59375,103994.59375,100.0,AutoLiquidity 2025-05-30 17:49:13
EURUSD,BUY LIMIT,1.13357,1.13307,1.13707,90.0,AutoLiquidity 2025-05-30 17:49:15
EURUSD,SELL LIMIT,1.13657,1.13707,1.13307,90.0,AutoLiquidity 2025-05-30 17:49:15
BTCUSD,BUY LIMIT,104103.40625,104028.40625,104378.40625,100.0,AutoLiquidity 2025-05-30 17:49:41
BTCUSD,SELL LIMIT,104253.40625,104328.40625,103978.40625,100.0,AutoLiquidity 2025-05-30 17:49:41
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 17:49:43
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 17:49:43
BTCUSD,BUY LIMIT,104103.40625,104028.40625,104378.40625,100.0,AutoLiquidity 2025-05-30 17:50:20
BTCUSD,SELL LIMIT,104253.40625,104328.40625,103978.40625,100.0,AutoLiquidity 2025-05-30 17:50:20
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 17:50:22
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 17:50:22
BTCUSD,BUY LIMIT,103651.58594,103576.58594,103926.58594,100.0,AutoLiquidity 2025-05-30 17:55:24
BTCUSD,SELL LIMIT,103801.58594,103876.58594,103526.58594,100.0,AutoLiquidity 2025-05-30 17:55:24
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 17:55:26
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 17:55:26
BTCUSD,BUY LIMIT,103922.89062,103847.89062,104197.89062,100.0,AutoLiquidity 2025-05-30 18:00:28
BTCUSD,SELL LIMIT,104072.89062,104147.89062,103797.89062,100.0,AutoLiquidity 2025-05-30 18:00:28
EURUSD,BUY LIMIT,1.1337,1.1332,1.1372,90.0,AutoLiquidity 2025-05-30 18:00:30
EURUSD,SELL LIMIT,1.1367,1.1372,1.1332,90.0,AutoLiquidity 2025-05-30 18:00:30
BTCUSD,BUY LIMIT,104076.38281,104001.38281,104351.38281,100.0,AutoLiquidity 2025-05-30 18:11:49
BTCUSD,SELL LIMIT,104226.38281,104301.38281,103951.38281,100.0,AutoLiquidity 2025-05-30 18:11:49
EURUSD,BUY LIMIT,1.13448,1.13398,1.13798,90.0,AutoLiquidity 2025-05-30 18:11:51
EURUSD,SELL LIMIT,1.13748,1.13798,1.13398,90.0,AutoLiquidity 2025-05-30 18:11:51
BTCUSD,BUY LIMIT,103946.75781,103871.75781,104221.75781,100.0,AutoLiquidity 2025-05-30 18:19:45
BTCUSD,SELL LIMIT,104096.75781,104171.75781,103821.75781,100.0,AutoLiquidity 2025-05-30 18:19:45
BTCUSD,BUY LIMIT,104080.44531,104005.44531,104355.44531,100.0,AutoLiquidity 2025-05-30 18:20:50
BTCUSD,SELL LIMIT,104230.44531,104305.44531,103955.44531,100.0,AutoLiquidity 2025-05-30 18:20:50
BTCUSD,BUY LIMIT,104141.97656,104066.97656,104416.97656,100.0,AutoLiquidity 2025-05-30 18:22:48
BTCUSD,SELL LIMIT,104291.97656,104366.97656,104016.97656,100.0,AutoLiquidity 2025-05-30 18:22:48
BTCUSD,BUY LIMIT,104021.57812,103946.57812,104296.57812,100.0,AutoLiquidity 2025-05-30 18:27:23
BTCUSD,SELL LIMIT,104171.57812,104246.57812,103896.57812,100.0,AutoLiquidity 2025-05-30 18:27:23
BTCUSD,BUY LIMIT,103956.51562,103881.51562,104231.51562,100.0,AutoLiquidity 2025-05-30 18:28:22
BTCUSD,SELL LIMIT,104106.51562,104181.51562,103831.51562,100.0,AutoLiquidity 2025-05-30 18:28:22
BTCUSD,BUY LIMIT,103902.58594,103827.58594,104177.58594,100.0,AutoLiquidity 2025-05-30 18:29:26
BTCUSD,SELL LIMIT,104052.58594,104127.58594,103777.58594,100.0,AutoLiquidity 2025-05-30 18:29:26
BTCUSD,BUY LIMIT,103884.22656,103809.22656,104159.22656,100.0,AutoLiquidity 2025-05-30 18:33:01
BTCUSD,SELL LIMIT,104034.22656,104109.22656,103759.22656,100.0,AutoLiquidity 2025-05-30 18:33:01
BTCUSD,BUY LIMIT,103903.10156,103828.10156,104178.10156,100.0,AutoLiquidity 2025-05-30 18:34:43
BTCUSD,SELL LIMIT,104053.10156,104128.10156,103778.10156,100.0,AutoLiquidity 2025-05-30 18:34:43
BTCUSD,BUY LIMIT,103903.10156,103828.10156,104178.10156,100.0,AutoLiquidity 2025-05-30 18:35:09
BTCUSD,SELL LIMIT,104053.10156,104128.10156,103778.10156,100.0,AutoLiquidity 2025-05-30 18:35:09
BTCUSD,BUY LIMIT,103905.78125,103830.78125,104180.78125,100.0,AutoLiquidity 2025-05-30 18:37:00
BTCUSD,SELL LIMIT,104055.78125,104130.78125,103780.78125,100.0,AutoLiquidity 2025-05-30 18:37:00
EURUSD,BUY LIMIT,1.13538,1.13488,1.13888,90.0,AutoLiquidity 2025-05-30 18:37:08
EURUSD,SELL LIMIT,1.13838,1.13888,1.13488,90.0,AutoLiquidity 2025-05-30 18:37:08
BTCUSD,BUY LIMIT,104090.13281,104015.13281,104365.13281,100.0,AutoLiquidity 2025-05-30 18:41:43
BTCUSD,SELL LIMIT,104240.13281,104315.13281,103965.13281,100.0,AutoLiquidity 2025-05-30 18:41:43
EURUSD,BUY LIMIT,1.13538,1.13488,1.13888,90.0,AutoLiquidity 2025-05-30 18:41:50
EURUSD,SELL LIMIT,1.13838,1.13888,1.13488,90.0,AutoLiquidity 2025-05-30 18:41:50
